S. No.,Chapter,Schedules,Description of Goods,CGST Rate (%),SGST / UTGST Rate (%),IGST Rate (%),Compensation Cess
39,"905, 2007, 28, 705, 2701",I,Vanilla,0.025,0.025,0.05,Rs.400 per
40,"906, 2008, 29, 706, 2702",I,Cinnamon and cinnamon-tree flowers,0.025,0.025,0.05,Rs.400 per
41,"907, 2009, 707, 2703",I,"Cloves (whole fruit, cloves and stems)",0.025,0.025,0.05,Rs.400 per
42,"908, 2101 30, 3102, 708, 8702 10,",I,"Nutmeg, mace and cardamoms",0.025,0.025,0.05,0.15
43,"909, 2102, 3103, 709, 8702 or",I,"Seeds   of   anise,   badian,   fennel,   coriander,   cumin   or",0.025,0.025,0.05,NIL
44,"0910 [other, 2103, 3104, 712, 8703 10 10,",I,"Ginger    other    than    fresh    ginger,    saffron,    turmeric (curcuma)  other  than  fresh  turmeric,  thyme,  bay  leaves, curry and other spices",0.025,0.025,0.05,NIL
45,"10, 2106, 3105, 713, 8703",I,All goods i.e. cereals pre-packaged and labelled.,0.025,0.025,0.05,NIL
46,"1001, 210690, 3201, 4011, 714, 8703",I,Wheat  and  meslin pre-packaged and labelled.,0.025,0.025,0.05,NIL
47,"1002, 2202 99 10, 3202, 801, 8703 40,",I,Rye  pre-packaged and labelled.,0.025,0.025,0.05,
48,"1003, 2202 99 20, 3203, 801, 8703 50,",I,Barley  pre-packaged and labelled.,0.025,0.025,0.05,
49,"1004, 3204, 802, 8703",I,Oats  pre-packaged and labelled.,0.025,0.025,0.05,NIL
50,"1005, 2202 99 30, 3205, 803, 8702, 8703",I,Maize (corn) pre-packaged and labelled.,0.025,0.025,0.05,0.01
51,"1006, 2515 1210, 3206, 804, 8702, 8703 31",I,Rice pre-packaged and labelled.,0.025,0.025,0.05,0.03
52,"1007, 2516, 3207, 805, [8703",I,Grain sorghum pre-packaged and labelled.,0.025,0.025,0.05,0.17
53,"1008, 28, 3211 00 00, 806, 8711",I,"Buckwheat, millet  and canary seed; other cereals such as Jawar,  Bajra,  Ragi pre-packaged and labelled.",0.025,0.025,0.05,0.03
54,"1101, 28, 3212, 807, 8802 or 8806",I,Wheat or meslin flour pre-packaged and labelled.,0.025,0.025,0.05,0.03
55,"1102, 28, 808, 8903",I,"Cereal  flours  other  than  of  wheat  or  meslin  i.e.  maize (corn) flour, Rye flour, etc. pre-packaged and labelled.",0.025,0.025,0.05,0.03
56,"1103, 28 or 38, 3301, 809, Any chapter",I,"Cereal groats,  meal and  pellets,  including  suji  and  dalia pre-packaged and labelled.",0.025,0.025,0.05,Nil
57,"1104, 2801 20, 3302, 810",I,"Cereal  grains   otherwise   worked   (for   example,   rolled, flaked, pearled, sliced or kibbled), except  rice of heading 1006;  germ  of  cereals,  whole,  rolled,  flaked  or  ground",0.025,0.025,0.05,
58,"1105, 2847, [3304, 814",I,"Meal,  powder,  Flour flakes,  granules  and  pellets  of potatoes pre-packaged and labelled.",0.025,0.025,0.05,
59,"1106, 29 or 3808 93, 3305, 7, 9 or 10",I,"Meal  and  powder  of  the  dried  leguminous  vegetables  of heading  0713  (pulses)  [other than guar  meal 1106  10  10 and guar gum refined split   {0713}], of sago or of roots or tubers of heading 0714 or of the products of Chapter 8 pre-packaged and labelled.",0.025,0.025,0.05,
61,"713, 3002, 3401, 902",I,Guar gum refined split,0.025,0.025,0.05,
62,"1109 00 00, 3003, 3404, 909",I,"Wheat gluten, whether or not dried",0.025,0.025,0.05,
63,"12, 3004, 3407, 0910 11 10",I,All goods other than of seed quality,0.025,0.025,0.05,
64,"1201, 3005, 3501, 0910 30 10",I,"Soya  beans,  whether  or  not  broken  other  than  of  seed quality.",0.025,0.025,0.05,
65,"1202, 3006, 3502, 1001",I,"Ground-nuts, not roasted or otherwise cooked, whether or",0.025,0.025,0.05,
66,"1203, 3503, 1002",I,Copra,0.025,0.025,0.05,
67,"1204, 3504, 1003",I,"Linseed, whether or not broken other than of seed quality.",0.025,0.025,0.05,
68,"1205, 3505, 1004",I,"Rape or colza seeds, whether or not broken other than of",0.025,0.025,0.05,
69,"1206, 3506, 1005",I,"Sunflower seeds, whether or not broken other than of seed",0.025,0.025,0.05,
70,"1207, 3507, 1006",I,"Other  oil seeds  and  oleaginous  fruits  (i.e.  Palm  nuts  and kernels,  cotton  seeds,  Castor  oil  seeds,  Sesamum  seeds,",0.025,0.025,0.05,
71,"1208, 3601, 1007",I,"Flour  and  meals  of  oil  seeds  or  oleaginous  fruits,  other",0.025,0.025,0.05,
72,"1210 20 00, 3306 1010, 3603, 1008",I,"Hop  cones,  ground,  powdered  or  in  the  form  of  pellets; lupulin",0.025,0.025,0.05,
73,"1211, 3307 41 00, 1101",I,"Plants and parts of plants (including  seeds and fruits), of a kind  used  primarily  in  perfumery,  in  pharmacy  or  for insecticidal, fungicidal or similar purpose, frozen or dried,",0.025,0.025,0.05,
74,"1212, 29, 30, 3301, 3701, 1102",I,"Locust  beans,  seaweeds  and  other  algae,  sugar  beet  and sugar  cane,  frozen  or  dried,  whether  or  not  ground;  fruit stones and kernels and other vegetable products (including unroasted        chicory        roots        of        the        variety Cichoriumintybussativum)  of  a  kind  used  primarily  for human consumption, not elsewhere specified or included",0.025,0.025,0.05,
75,"1301, 3406, 3702, 1103",I,"Natural   gums,   resins,   gum-resins   and   oleoresins   (for",0.025,0.025,0.05,
76,"1301, 3701, 3703, 1104",I,Compounded asafoetida commonly known as heeng,0.025,0.025,0.05,
77,"1401, 3705, 3704, 1105",I,Vegetable  materials of a  kind  used  primarily  for  plaiting,0.025,0.025,0.05,
78,"1404 [other, 3706, 3706, 1106",I,"Vegetable  products  not  elsewhere  specified  or  included such as, Cotton linters, Soap nuts, Hard seeds, pips, hulls and nuts, of a kind used primarily for carving,  Rudraksha seeds [other than bidi wrapper leaves (tendu), betel leaves, Indian katha, coconut shell, unworked",0.025,0.025,0.05,
79,"1507, 3818, 3707, 12",I,"Soya-bean oil and its fractions, whether or not refined, but",0.025,0.025,0.05,
80,"1508, 3822, 3801, 1201",I,"Ground-nut  oil  and  its  fractions,  whether  or  not  refined,",0.025,0.025,0.05,
81,"1509, 3926, 3802, 1202",I,"Olive oil and its fractions, whether or not refined, but not",0.025,0.025,0.05,
82,"1510, 3926, 3803 00 00, 1204",I,"Other oils and their fractions, obtained solely from olives, whether   or   not   refined,   but   not   chemically  modified, including  blends  of  these  oils  or  fractions  with  oils  or fractions of heading 1509",0.025,0.025,0.05,
83,"1511, 4007, 3804, 1205",I,"Palm oil and its fractions, whether or not refined, but not",0.025,0.025,0.05,
84,"1512, 4014, 3805, 1206",I,"Sunflower-seed, safflower or cotton-seed oil and fractions thereof,   whether   or   not   refined,   but   not   chemically",0.025,0.025,0.05,
85,"1513, 4015, 3806, 1207",I,"Coconut (copra), palm kernel or babassu oil and fractions",0.025,0.025,0.05,
86,"1514, 3807, 1209",I,"Rape, colza or mustard oil and  fractions thereof, whether",0.025,0.025,0.05,
87,"1515, 3808, 1210",I,Other   fixed   vegetable   or   microbial   fats   and   oils,0.025,0.025,0.05,
88,"1516, 3809, 1211",I,"Vegetable   fats   and  oils   and   their   fractions,   partly  or wholly   hydrogenated,   inter-esterified,   re-esterified   or elaidinised,   whether   or   not   refined,   but   not   further",0.025,0.025,0.05,
89,"1517, 4202 22 20, 3810, 1212",I,Edible  mixtures  or  preparations  of     vegetable  fats  or vegetable oils or of fractions of different vegetable fats or,0.025,0.025,0.05,
90,"1518, 4202 22 30, 3812, 1213",I,"Vegetable   fats   and   oils   and   their   fractions,   boiled, oxidised, dehydrated, sulphurised, blown, polymerised by heat  in  vacuum  or  in  inert  gas  or  otherwise  chemically",0.025,0.025,0.05,
91,"1701, 4203, 3815, 1214",I,"Beet sugar, cane sugar",0.025,0.025,0.05,
92,"1702 or, 44 or any Chapter, 3816, 1301",I,"Palmyra  sugar,   mishri,   batasha,   bura,   sakar,  khadi sakar,    harda,    sakariya,    gatta,    kuliya,    elaichidana, lukumdana, chikkis like puffed rice chikki, peanut chikki, sesame chikki, til chikki, til patti, til revdi, sugar makhana,",0.025,0.025,0.05,
93,"1801, 4404, 3817, 1404 90 40",I,"Cocoa beans whole or broken, raw or roasted",0.025,0.025,0.05,
94,"1802, 4405, 3818, 1701 or",I,"Cocoa shells, husks, skins and other cocoa waste",0.025,0.025,0.05,
95,"1803, 4406, 3821, 1904",I,Cocoa paste whether or not de-fatted,0.025,0.025,0.05,
96,"1901 20 00, 4408, 3823, 1905",I,"Mixes and doughs for the preparation of bread, pastry and",0.025,0.025,0.05,
97,"1902, 4415, 3824, 1905",I,Seviyan (vermicelli),0.025,0.025,0.05,
98,"1903, 4416, 3825, 2106",I,"Tapioca  and  substitutes therefor  prepared  from starch,  in",0.025,0.025,0.05,
99,"1905, 4417, 2201",I,Pizza bread,0.025,0.025,0.05,
100,"1905 40 00, 4420, 3901 to 3913, 2201",I,"Rusks, toasted bread and similar toasted products",0.025,0.025,0.05,
101,"2106 90, 4421, 3914",I,Sweetmeats,0.025,0.025,0.05,
102,"2201 90 10, 2301,2302,",I,Ice and snow,0.025,0.025,0.05,
103,"2301, 3916, 2501",I,"Flours, meals and pellets, of meat or meat offal, of fish or",0.025,0.025,0.05,
104,"2303, 3917, 2716 00 00",I,"Residues of starch manufacture and similar residues, beet-",0.025,0.025,0.05,
105,"2304, 4701, 3919, 2835",I,"Oil-cake  and  other  solid  residues,  whether  or not  ground or in the  form of pellets, resulting  from the extraction of",0.025,0.025,0.05,
106,"2305, 4702, 3920, 3002",I,"Oil-cake  and  other  solid  residues,  whether  or not  ground",0.025,0.025,0.05,
107,"2306, 4703, 3921, 3006",I,"Oil-cake and other solid residues, whether or not ground or in the  form of pellets, resulting  from the extraction of vegetable  or  microbial  fats  or  oils,  other  than  those  of heading 2304 or 2305 other than cottonseed oil cake",0.025,0.025,0.05,
108,"2307, 4704, 3923, 3101",I,Wine lees; argol,0.025,0.025,0.05,
109,"2401, 4705, 3924, 3304",I,Tobacco leaves,0.025,0.025,0.05,
110,"2502, 4706, 3925, 3825",I,Unroasted iron pyrites.,0.025,0.025,0.05,
111,"2503, 3926, 3926",I,"Sulphur   of   all   kinds,   other   than   sublimed   sulphur,",0.025,0.025,0.05,
112,"2504, 4802, 4002, 4014",I,Natural graphite.,0.025,0.025,0.05,
113,"2505, 4804, 4003, 4401",I,"Natural sands of all kinds, whether or not coloured, other",0.025,0.025,0.05,
114,"2506, 4805, 4004, 8407, 4402",I,"Quartz (other than natural sands); quartzite, whether or not roughly trimmed  or  merely  cut,  by sawing  or  otherwise, into  blocks  or  slabs  of  a  rectangular  (including  square)",0.025,0.025,0.05,
115,"2507, 4806 20 00, 4005, 8408, 4802 / 4907",I,"Kaolin and other kaolinic clays, whether or not calcined.",0.025,0.025,0.05,
116,"2508, 4806 40 10, 4006, 8409, 4817 / 4907",I,Other  clays  (not  including  expanded  clays  of  heading,0.025,0.025,0.05,
117,"2509, 4807, 4007, 8413, 48 or 4907",I,Chalk.,0.025,0.025,0.05,
118,"2510, 4808, 4008",I,"Natural  calcium  phosphates,  natural  aluminium  calcium",0.025,0.025,0.05,
119,"2511, 4810, 4009, 8415, 4901",I,Natural    barium    sulphate    (barytes);    natural    barium,0.025,0.025,0.05,
120,"2512, 4010, 4902",I,"Siliceous  fossil  meals  (for  example,  kieselguhr,  tripolite and diatomite) and similar siliceous earths, whether or not",0.025,0.025,0.05,
121,"2513, 4817 30, 4011, 4903",I,"Pumice  stone;  emery;  natural  corundum,  natural  garnet",0.025,0.025,0.05,
122,"2514, 4014, 8422",I,"Slate,  whether  or  not  roughly trimmed  or  merely  cut,  by sawing or otherwise, into blocks or slabs of a rectangular",0.025,0.025,0.05,
123,"[2515, 4820, 4015, 5001",I,"Ecaussine  and  other  calcareous  monumental  or  building stone  alabaster  [other  than  marble  and  travertine],  other than mirror polished stone which is ready to use",0.025,0.025,0.05,
124,"2516, 4823, 4202, 5002",I,"Porphyry,   basalt,   sandstone   and  other   monumental  or building stone, whether or not roughly trimmed or merely",0.025,0.025,0.05,
125,"2516 11 00, 48, 5003",I,Granite crude or roughly trimmed,0.025,0.025,0.05,
126,"2517, 5101",I,"Pebbles,   gravel,   broken   or   crushed   stone,   of   a   kind commonly    used    for    concrete    aggregates,    for    road metalling or for railway or other ballast, shingle and flint, whether  or  not  heat-treated;  macadam  of  slag,  dross  or similar  industrial waste, whether  or not  incorporating  the materials  cited  in  the  first  part  of  the  heading;  tarred macadam;   grenules   cheeping   and   powder   of   stones",0.025,0.025,0.05,
127,"2518, 5102",I,"Dolomite, whether or not calcined or sintered, including dolomite  roughly  trimmed  or  merely  cut,  by  sawing  or otherwise, into blocks or slabs of a rectangular (including square)   shape;   2518   10   dolomite,   Not   calcined   or sintered",0.025,0.025,0.05,
128,"2519, 5103",I,"Natural     magnesium     carbonate     (magnesite);     fused magnesia;  dead-burned  (sintered)  magnesia,  whether  or not  containing  small  quantities  of  other  oxides  added",0.025,0.025,0.05,
129,"2520, 52",I,"Gypsum;   anhydrite;   plasters   (consisting   of   calcined gypsum  or  calcium  sulphate)  whether  or  not  coloured,",0.025,0.025,0.05,
130,"2521, 52",I,"Limestone flux; limestone and other calcareous stone, of a",0.025,0.025,0.05,
131,"2522, 4301, 5303",I,"Quicklime,  slaked  lime  and  hydraulic  lime,  other  than",0.025,0.025,0.05,
132,"2524, 4302, 5305",I,Asbestos,0.025,0.025,0.05,
133,"2525, 5601, 4304, 63",I,"Mica, including splitting; mica waste.",0.025,0.025,0.05,
134,"2526, 5602, 4403, 6703",I,"Natural steatite, whether or not roughly trimmed or merely cut,  by  sawing  or  otherwise,  into  blocks  or  slabs  of  a rectangular (including square) shape; talc.",0.025,0.025,0.05,
135,"2528, 5603, 4407, 6912 00 40",I,"Natural borates  and  concentrates thereof (whether  or  not calcined), but not including borates separated from natural brine; natural boric acid containing not more than 85% of H3BO3 (claculated on dry weight)",0.025,0.025,0.05,
136,"2529, 5604, 4408, 7018",I,"Feldspar;    leucite,    nepheline    and    nepheline    syenite;",0.025,0.025,0.05,
137,"2530, 5605, 4409, 8201",I,Mineral substances not elsewhere specified or included.,0.025,0.025,0.05,
149,"2611, 5803, 4812, -",I,Tungsten ores and concentrates.,0.025,0.025,0.05,
150,"2612, 5804, 4813, -",I,Uranium or thorium ores and concentrates.,0.025,0.025,0.05,
151,"2613, 5805, 4816, Any",I,Molybdenum ores and concentrates.,0.025,0.025,0.05,
152,"2614, 4817, Any Chapter",I,Titanium ores and concentrates.,0.025,0.025,0.05,
153,"2615, 5807, 4818, Any Chapter",I,"Niobium,   tantalum,   vanadium   or   zirconium   ores   and",0.025,0.025,0.05,
154,"2616, 5808, 4820, 8528",I,Precious metal ores and concentrates.,0.025,0.025,0.05,
155,"2617, 5809, 4821",I,Other ores and concentrates,0.025,0.025,0.05,
156,"2618, 5810, 4822",I,Granulated slag (slag sand) from the manufacture of iron,0.025,0.025,0.05,
157,"27, 5811, 4823",I,Bio-gas,0.025,0.025,0.05,
158,"2701, 5901",I,"Coal;    briquettes,    ovoids    and    similar    solid    fuels",0.025,0.025,0.05,
159,"2702, 5902, 5402, 5404, 5406",I,"Lignite, whether or not agglomerated, excluding jet",0.025,0.025,0.05,
160,"2703, 5903, 5403, 5405, 5406",I,"Peat (including peat litter), whether or not agglomerated",0.025,0.025,0.05,
161,"2704, 5904, 5501, 5502",I,"Coke and semi coke of coal, of lignite or of peat, whether or not agglomerated; retort carbon",0.025,0.025,0.05,
162,"2705, 5905, 5503, 5504, 5506,",I,"Coal gas, water gas, producer gas and similar gases, other",0.025,0.025,0.05,
164,"2710, 5907, 8702",I,"(a) kerosene oil PDS, (b) The following bunker fuels for use in ships or vessels, namely,",0.025,0.025,0.05,
165,"2711 12 00,, 5908, 8703",I,"Liquefied    Propane    and    Butane    mixture,    Liquefied Propane,   Liquefied   Butane   and   Liquefied   Petroleum Gases   (LPG)   for   supply   to   non- domestic  exempted  category  (NDEC)  customers  by  the Indian   Oil   Corporation   Limited,   Hindustan   petroleum Corporation  Limited   or   Bharat   Petroleum  Corporation Limited.",0.025,0.025,0.05,
166,"28, 5909, 6401, 8704",I,Thorium oxalate,0.025,0.025,0.05,
167,"28, 5910, 6402",I,Enriched KBF4 (enriched potassium fluroborate),0.025,0.025,0.05,
168,"28, 5911, 6403, 8706",I,Enriched elemental boron,0.025,0.025,0.05,
169,"28, 61, 6404, 8707",I,Nuclear fuel,0.025,0.025,0.05,
170,"2805 11, 62, 6405, 8708",I,Nuclear grade sodium,0.025,0.025,0.05,
171,"2845, 63 other than, 6406",I,Heavy water and other nuclear fuels,0.025,0.025,0.05,
172,"2853, 6601, 6501",I,Compressed air,0.025,0.025,0.05,
173,"30, 6602, 6502, 8711",I,Insulin,0.025,0.025,0.05,
174,"3002, 3006, 6603, 6504 00 00, 8714",I,Animal or Human Blood Vaccines,0.025,0.025,0.05,
175,"30, 6701, 6505",I,Diagnostic kits for detection of all types of hepatitis,0.025,0.025,0.05,
176,"30, 68, 6506, 8802 or",I,Desferrioxamine injection or deferiprone,0.025,0.025,0.05,
177,"30, 6507, 8903",I,Cyclosporin,0.025,0.025,0.05,
178,"30, 7015 10, 6804",I,Medicaments (including veterinary medicaments) used  in,0.025,0.025,0.05,
179,"30, 7020, 6805",I,Oral re-hydration salts,0.025,0.025,0.05,
180,"30 or any Chapter, 7310 or 7326, 6806",I,Drugs  or  medicines  including  their  salts  and  esters  and,0.025,0.025,0.05,
181,"30, 7317, 6810",I,Formulations manufactured from the bulk drugs specified,0.025,0.025,0.05,
182,"3101, 7319, 6811",I,All  goods  i.e.  animal  or  vegetable  fertilisers  or  organic fertilisers pre-packaged and labelled,0.025,0.025,0.05,
183,"32, 7321, 6902",I,"Wattle extract, quebracho extract, chestnut extract",0.025,0.025,0.05,
184,"3202, 7323, 6903",I,Enzymatic preparations for pre-tanning,0.025,0.025,0.05,
185,"3307 41 00, 7418, 6906",I,"Agarbatti, lobhan, dhoop batti, dhoop, sambraani",0.025,0.025,0.05,
186,"3402, 7615",I,"Sulphonated castor oil, fish oil or sperm oil",0.025,0.025,0.05,
188,4001,I,"Natural  rubber,  balata,  gutta-percha,  guayule,  chicle  and similar natural gums, in primary forms or in plates, sheets",0.025,0.025,0.05,
189,"4011 30 00, 7002",I,"New   pneumatic   tyres,   of   rubber   of   a   kind   used   on aircraft",0.025,0.025,0.05,
190,"4011, 4013, 8401, 7010",I,"Pneumatic tyres or inner tubes, of rubber, of a kind used on  /  in  bicycles,  cycle  -rickshaws  and  three  wheeled",0.025,0.025,0.05,
191,"4016, 8408, 7013",I,Erasers,0.025,0.025,0.05,
192,"4101, 7015",I,"Raw  hides  and  skins  of  bovine  (including  buffalo)  or equine  animals  (fresh,  or  salted,  dried,  limed,  pickled  or otherwise preserved, but not tanned, parchment-dressed or",0.025,0.025,0.05,
193,"4102, 7017",I,"Raw  skins  of  sheep  or  lambs  (fresh,  or  salted,  dried, limed,  pickled  or  otherwise  preserved,  but  not  tanned, parchment-dressed  or  further  prepared),  whether  or  not",0.025,0.025,0.05,
194,"4103, 8414 20 20, 7018",I,"Other  raw  hides and  skins (fresh,  or  salted,  dried,  limed, pickled    or    otherwise    preserved,    but    not    tanned, parchment-dressed  or  further  prepared),  whether  or  not",0.025,0.025,0.05,
195,"4104, 7019",I,Tanned  or  crust  hides  and  skins  of  bovine  (including,0.025,0.025,0.05,
196,"4105, 8432, 7201",I,"Tanned or crust skins of sheep or lambs, without wool on,",0.025,0.025,0.05,
197,"4106, 8433, 7202",I,"Tanned or crust hides and skins of other animals, without",0.025,0.025,0.05,
198,"4401, 7203",I,"Wood in chips or particles; sawdust  and wood waste and scrap,  whether  or  not  agglomerated  in  logs,  briquettes,",0.025,0.025,0.05,
199,"4801, 8436, 7204",I,"Newsprint, in rolls or sheets",0.025,0.025,0.05,
200,"4823, 8452, 7205",I,"Kites, Paper mache articles",0.025,0.025,0.05,
201,"4901, 8479, 7206",I,"Brochures, leaflets and similar printed matter, whether or",0.025,0.025,0.05,
202,"5004 to, 7207",I,Silk yarn,0.025,0.025,0.05,
203,"5007, 7208 to 7212",I,Woven fabrics of silk or of silk waste,0.025,0.025,0.05,
204,"5104, 8525 60, 7213 to 7215",I,"Garneted  stock of wool or of  fine  or  coarse  animal  hair,",0.025,0.025,0.05,
205,"5105, 7216",I,"Wool and fine or coarse animal hair, carded or combed",0.025,0.025,0.05,
206,"5106 to 5110, 7217",I,Yarn of wool or of animal hair,0.025,0.025,0.05,
207,"5111 to, 8701, 7218",I,Woven fabrics of wool or of animal hair,0.025,0.025,0.05,
208,"5201 to, 8712, 7219, 7220",I,Cotton and Cotton waste,0.025,0.025,0.05,
209,"5204, 8714, 7221, 7222",I,"Cotton sewing thread, whether or not put up for retail sale",0.025,0.025,0.05,
210,"5205 to, 8716 20 00, 7223, 9302",I,Cotton yarn [other than khadi yarn],0.025,0.025,0.05,
211,"5208 to, 871680, 7224",I,Woven fabrics of cotton,0.025,0.025,0.05,
212,"5301, 90 or any other, 7225, 7226",I,"All goods i.e. flax, raw or processed but not spun; flax tow",0.025,0.025,0.05,
213,"5302, 90 or any other, 7227, 7228",I,"True hemp (Cannabis sativa L), raw or processed but not",0.025,0.025,0.05,
214,"5303, 9001, 7229",I,"All goods i.e. textile bast fibres [other than jute fibres, raw or processed but not spun]; tow and waste of these fibres",0.025,0.025,0.05,
215,"5305 to, [9003, 7301",I,"All goods other than coconut coir fibre] including yarn of flax,  jute, other textile  bast  fibres,  other  vegetable textile fibres; paper yarn, [including coir pith compost pre-packaged and labelled.",0.025,0.025,0.05,
216,"5309 to, 9004, 7302",I,"Woven fabrics of other vegetable textile fibres, paper yarn",0.025,0.025,0.05,
